item_id,param_key,param_value,raw_text
982023794758,品牌,KRRAMEL,品牌 KRRAMEL
982023794758,产品名称,松塔猪鬃护发梳,产品名称 松塔猪鬃护发梳
982023794758,适用人群,女生,适用人群 女生
982023794758,流行趋势词,实用,流行趋势词 实用
982023794758,主色系,原木色,主色系 原木色
982023794758,货号,741,货号 741
982023794758,修饰词,梳子礼盒,修饰词 梳子礼盒
982023794758,是否为特殊用途化妆品,否,是否为特殊用途化妆品 否
982023794758,材质工艺,HIPS高抗冲聚材质,材质工艺 HIPS高抗冲聚材质
982023794758,颜色分类,春节不打烊 48小时内发货 四叶草、蝶镜【款式随机发送】 岁月同梳【中号松塔梳+中号气垫梳】 岁月同梳【中号松塔梳+大号气垫梳】 岁月同梳【大号松塔梳+中号气垫梳】 岁月同梳【大号松塔梳+大号气垫梳】 灵悦梳影【中号松塔梳】 灵悦梳影【大号松塔梳】 椿珩梳意【中号松塔梳】 椿珩梳意【大号松塔梳】 祝你纯粹礼盒【中号松塔梳】 祝你纯粹礼盒【大号松塔梳】 圣诞岁安礼盒【大号松塔梳】,颜色分类 春节不打烊 48小时内发货 四叶草、蝶镜【款式随机发送】 岁月同梳【中号松塔梳+中号气垫梳】 岁月同梳【中号松塔梳+大号气垫梳】 岁月同梳【大号松塔梳+中号气垫梳】 岁月同梳【大号松塔梳+大号气垫梳】 灵悦梳影【中号松塔梳】 灵悦梳影【大号松塔梳】 椿珩梳意【中号松塔梳】 椿珩梳意【大号松塔梳】 祝你纯粹礼盒【中号松塔梳】 祝你纯粹礼盒【大号松塔梳】 圣诞岁安礼盒【大号松塔梳】
860413289189,主要功能,"美发造型,送礼,高颅顶,顺发,按摩头皮","主要功能美发造型,送礼,高颅顶,顺发,按摩头皮"
860413289189,品牌,KRRAMEL,品牌KRRAMEL
860413289189,手柄类型,直柄,手柄类型直柄
860413289189,适用场景,家庭,适用场景家庭
860413289189,梳齿材质,猪鬃,梳齿材质猪鬃
860413289189,是否一次性,可重复使用,是否一次性可重复使用
860413289189,货号,XS-LHH,货号XS-LHH
860413289189,商品品类,梳子,商品品类梳子
860413289189,适用人群,成人 通用,适用人群成人 通用
860413289189,手柄材质,松塔梳HIPS高抗冲聚和榉木,手柄材质松塔梳HIPS高抗冲聚和榉木
860413289189,装饰元素,木质纹理,装饰元素木质纹理
860413289189,颜色分类,【说明勿拍】联系客服代写贺卡 绯韵梳语礼盒【中号松塔梳】 灵悦梳影礼盒【中号松塔梳】 灵悦梳影礼盒【大号松塔梳】 梳愈时光礼盒【中号松塔梳】 梳愈时光礼盒【大号松塔梳】 品牌限定礼盒【中号松塔梳】 鎏金梳丽礼盒【中号松塔梳】 养生护发礼盒【中号松塔梳】 至臻护发礼盒【中号松塔梳】 护发经络梳礼【中号松塔梳】 谧光梳礼礼盒【中号松塔梳】 谧光梳礼礼盒【大号松塔梳】 叶影奢华礼盒【大号松塔梳，赠刮痧板】 叶影奢华礼盒【中号松塔梳，赠刮痧板】 璀璨梳影礼盒【中号松塔梳】 【一梳百顺】流光梳影礼盒【中号松塔梳+中号梳】 【一梳百顺】流光梳影礼盒【大号松塔梳+中号梳】 【好梳成双】青丝沐语礼盒【中号松塔梳+中号梳】 【好梳成双】青丝沐语礼盒【大号松塔梳+中号梳】,颜色分类【说明勿拍】联系客服代写贺卡 绯韵梳语礼盒【中号松塔梳】 灵悦梳影礼盒【中号松塔梳】 灵悦梳影礼盒【大号松塔梳】 梳愈时光礼盒【中号松塔梳】 梳愈时光礼盒【大号松塔梳】 品牌限定礼盒【中号松塔梳】 鎏金梳丽礼盒【中号松塔梳】 养生护发礼盒【中号松塔梳】 至臻护发礼盒【中号松塔梳】 护发经络梳礼【中号松塔梳】 谧光梳礼礼盒【中号松塔梳】 谧光梳礼礼盒【大号松塔梳】 叶影奢华礼盒【大号松塔梳，赠刮痧板】 叶影奢华礼盒【中号松塔梳，赠刮痧板】 璀璨梳影礼盒【中号松塔梳】 【一梳百顺】流光梳影礼盒【中号松塔梳+中号梳】 【一梳百顺】流光梳影礼盒【大号松塔梳+中号梳】 【好梳成双】青丝沐语礼盒【中号松塔梳+中号梳】 【好梳成双】青丝沐语礼盒【大号松塔梳+中号梳】
992447347764,主要功能,"送礼,梳发提神","主要功能送礼,梳发提神"
992447347764,品牌,KRRAMEL,品牌KRRAMEL
992447347764,手柄类型,直柄,手柄类型直柄
992447347764,适用场景,家庭,适用场景家庭
992447347764,梳齿材质,猪鬃毛,梳齿材质猪鬃毛
992447347764,是否一次性,可重复使用,是否一次性可重复使用
992447347764,货号,ZH-YSST-YSDD-1,货号ZH-YSST-YSDD-1
992447347764,商品品类,化妆梳,商品品类化妆梳
992447347764,适用人群,通用,适用人群通用
992447347764,装饰元素,猪鬃毛,装饰元素猪鬃毛
992447347764,颜色分类,下单送随机小镜子 礼梳成双礼盒【大号松塔梳】 梳适焕肤【大号松塔梳】 礼梳成双礼盒【中号松塔梳】 梳适焕肤【中号松塔梳】 粉梳成双礼盒【大号粉色松塔+粉色吨吨梳】 粉梳成双礼盒【中号粉色松塔+粉色吨吨梳】,颜色分类下单送随机小镜子 礼梳成双礼盒【大号松塔梳】 梳适焕肤【大号松塔梳】 礼梳成双礼盒【中号松塔梳】 梳适焕肤【中号松塔梳】 粉梳成双礼盒【大号粉色松塔+粉色吨吨梳】 粉梳成双礼盒【中号粉色松塔+粉色吨吨梳】
